2023-01-30 09:31:32 200 GET /assets/images/box-item/item-h5.3.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 2484
2023-01-30 09:31:32 200 GET /assets/images/indexImage/3.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 47078
2023-01-30 09:31:32 404 GET /assets/images/indexImage/5.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 163
2023-01-30 09:31:32 200 GET /assets/js/web3.min.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 1412161
2023-01-30 09:31:34 200 GET /assets/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 64855
2023-01-30 09:31:34 200 GET /assets/css/responsive.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 28960
2023-01-30 09:31:34 200 GET /assets/images/logo/logo01.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 6945
2023-01-30 09:31:34 200 GET /assets/css/slack.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 796
2023-01-30 09:31:34 200 GET /assets/css/likeTag.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 784
2023-01-30 09:31:34 200 GET /assets/css/ntfs.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/assets/css/style.css 0:0:0:0:0:0:0:1 5132
2023-01-30 09:31:34 200 GET /assets/css/animate.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/assets/css/style.css 0:0:0:0:0:0:0:1 27785
2023-01-30 09:31:34 200 GET /assets/css/shortcodes.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/assets/css/style.css 0:0:0:0:0:0:0:1 182630
2023-01-30 09:31:34 200 GET /assets/css/sweet-alert.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 33641
2023-01-30 09:31:34 200 GET /assets/css/jquery.fancybox.min.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/assets/css/style.css 0:0:0:0:0:0:0:1 13735
2023-01-30 09:31:34 200 GET /assets/css/swiper-bundle.min.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/assets/css/style.css 0:0:0:0:0:0:0:1 13972
2023-01-30 09:31:34 200 GET /assets/css/font-awesome.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/assets/css/style.css 0:0:0:0:0:0:0:1 224958
2023-01-30 09:31:34 200 GET /assets/images/icon/sun.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 400
2023-01-30 09:31:34 200 GET /assets/css/bootstrap.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/assets/css/style.css 0:0:0:0:0:0:0:1 200887
2023-01-30 09:31:34 200 GET /assets/images/icon/moon-2.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 692
2023-01-30 09:31:34 200 GET /assets/images/icon/plus.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 15271
2023-01-30 09:31:34 200 GET /assets/images/likeTag/%EC%B7%A8%EC%97%85.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 3901
2023-01-30 09:31:34 200 GET /assets/images/likeTag/%EB%8F%85%EC%84%9C.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 6216
2023-01-30 09:31:34 200 GET /assets/images/likeTag/%EC%96%B4%ED%95%99.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 6973
